name,hex,rgb,cmyk,description
Turkey Red,#A91101,"(169, 17, 1)","(0, 90, 99, 34)","['Between their deep brown feathers and their distinctive red wattles, turkeys actually have a lot more red in their images than you’d originally think. Turkey Red emphasizes this connection with a deep, reddish brown tint that ties together the various reddish notes that make up a turkey’s characteristic autumnal plumage.']"
Tuscan Red,#7C3030,"(124, 48, 48)","(0, 61, 61, 51)","['Tuscan Red is a deep red that looks almost brown in certain lights. Throughout the 1800s, it was a popular choice for train cars both in the northeastern United States and Australia. Today, you’re far more likely to see this color in a set of colored pencils, but some luxury train cars still bear the color.']"
Upsdell Red,#AE2029,"(174, 32, 41)","(0, 82, 76, 32)","['Similar in color to Fire Engine Red, Upsdell Red is a bright, dynamic red color that is often used for flags, especially flags that are meant to be flown at night. Upsdell Red was named after the first headmaster at the King George V school in Hong Kong after WWII.']"
Venetian Red,#C80815,"(200, 8, 21)","(0, 96, 89, 22)","['Venetian Red gets its dark red color from the natural decomposition of iron oxide. Historically, it was a favorite of renaissance painters, particularly in the Italian art world of the 15th century. As a result, this color is closely associated with the artists, artwork, and creators of Venice in particular.']"
Virgin Lust Red,#E4181E,"(228, 24, 30)","(0, 89, 87, 11)",['Virgin Lust is a variation on the Lust color listed earlier. The main difference between the two is that Virgin Lust has a slightly lighter tint to it and it leans a little bit closer to the brighter end of the spectrum than towards a pure red.']
Wine Red,#722F37,"(114, 47, 55)","(0, 59, 52, 55)","['Not all wines are red, of course. White wines and rose-colored wines are popular in certain circles. However, if you want a color that puts you in the same frame of mind as Homer and his “wine-dark sea”, Wine Red is a bold, deep color full of passion and energy.']"
Medium Vermillion,#D9603B,"(217, 96, 59)","(0, 56, 73, 15)","['Vermillion is a brilliant red color that has played an important role in art, culture, and society in multiple civilizations throughout history. Medium Vermillion is a slightly lighter shade of the same color that still bears the characteristically vibrant hue and richness of color that “regular” vermillion has long promoted.']"
UP Maroon,#7B1113,"(123, 17, 19)","(0, 86, 85, 52)","['The University of the Philippine’s various athletic teams are collectively referred to as “the Fighting Maroons”, and with UP Maroon as their official color, it’s easy to see why. UP Maroon is a deep, rich color that’s a few shades darker than traditional maroons and is full of dynamic energy.']"
Outrageous Orange Red,#FF6E4A,"(255, 110, 74)","(0, 57, 71, 0)","['It’s right there in the name, so it comes as no surprise that Outrageous Orange Red definitely tips a little closer to the orange category than it does red. Still, based on its RGB makeup, this color is basically a vivid red that’s been watered down until it looks more orange-y.']"
Utah Crimson,#D3003F,"(211, 0, 63)","(0, 100, 70, 17)","['The University of Utah was founded in Salt Lake City in 1850. Today, it’s home to over 30,000 students and offers nearly a hundred separate degree courses. Utah’s official colors include Utah Crimson, a bold and dynamic color that can be seen at every major sporting event that Utah attends.']"
Desire,#EA3C53,"(234, 60, 83)","(0, 74, 65, 8)","['This is a warm pink, slightly similar to salmon. It has one or two drops of blue in it. This is just enough to make it fairly neutral in your color palette. Pair with grays, charcoals, and whites.']"
Light Salmon,#FFA07A,"(255, 160, 122)","(0, 37, 52, 0)","['This is more of a pale orange hue. It has enough red in it to give it a pink hue, but it definitely has many yellow undertones. Pair this with bright green for a festive Mexican flair.']"
Salmon,#FA8072,"(250, 128, 114)","(0, 49, 54, 2)","['This has a lovely coral hue with enough yellow undertones to make it very warm and nurturing. Use this for websites about breastfeeding, new mothers, and baby care.']"
Dark Salmon,#E9967A,"(233, 150, 122)","(0, 36, 48, 9)",['This is a true skin tone and should only be paired with neutral tans and light browns as an off-pink hue. Don’t use this color for websites or interior decorating. Only use it as an off-pink accent color.']
Light Coral,#F08080,"(240, 128, 128)","(0, 47, 47, 6)","['This is a cooler shade of pink than the salmon color. It should be used with cool-toned taupe and cool, dark tan colors. This is also a fairly standard color and is used often in home decorating and in softly feminine website design.']"
Tomato,#FF6347,"(255, 99, 71)","(0, 61, 72, 0)","['This is a light, orange-red color that is perfectly paired with warm, golden browns and warm, buttercup yellows. Use this solely as an accent color to warm up a color scheme without overpowering it with bright orange. Pair with black to use on a construction or hardware site.']"
Pale Violet Red,#DB7093,"(219, 112, 147)","(0, 49, 33, 14)","['Next to an orangey-red color, this hue appears very purple. In fact, it is a lot warmer than it looks in comparison. It appears much redder when next to a true blue-violet. Use this color to warm up a cool, blue color scheme. It is also a good color to use with brick reds and warm browns.']"
Light Brick,#FB607F,"(251, 96, 127)","(0, 62, 49, 2)","['This shade is the consummate light red. Without any blue tinges, it avoids becoming pink or rose. This color is sometimes used for men’s and boy’s t-shirts. It is also the color of bricks after they have sat in the sun for several decades.']"
Airbnb Red,#FF5A5F,"(255, 90, 95)","(0, 65, 63, 0)","['Airbnb is less than fifteen years old, but it’s already completely changed the way most of us approach our travel plans. The cheerful red of their logo is a little bit softer than a traditional red, but it’s still warm and welcoming enough to promote each new home it offers.']"
American Rose,#FF033E,"(255, 3, 62)","(0, 99, 76, 0)","['American Rose is the typical rosy red, but given a classic American twist. This translates to a red that’s just a little bit brighter and sharper-looking than the traditional Rose Red, with a resulting sense of life and energy that sets it apart, or, depending on your perspective, makes it more jarring.']"
Almost Apricot Red,#E5B39B,"(229, 179, 155)","(0, 22, 32, 10)","['Apricots, as a quick trip to the grocery store will tell you, are much more orange or even yellow in color. That’s why this shade of red is considered “Almost” Apricot. It has more red notes to it to counteract the yellow or orange pull and keep it in the red family.']"
Coral Red,#FF7F50,"(255, 127, 80)","(0, 50, 69, 0)","['While coral reefs and corals themselves often come in a wide range of colors, Coral Red is named after what many of us consider to be the most iconic shade of coral – a bright, cheerful color that has some slightly pink or orange undertones but is still predominantly red.']"
Portland Orange Red,#FF5A36,"(255, 90, 54)","(0, 65, 79, 0)","['Portland Orange Red is a dazzling color that combines the warmth and passion of traditional orange and red hues with the slightly more laid-back vibe that most people picture when they imagine Portland. It has a little more green in it than most reds, and the result is truly unique.']"
Radical Red,#FF355E,"(255, 53, 94)","(0, 79, 63, 0)","['Radical Red is just regular red but a little bit more, well, radical. The secret of Radical Red’s color scheme lies in its relatively high amounts of blue pigment. As a result, Radical Red veers slightly towards the purple color scheme, albeit not enough to appear noticeably blue or purple.']"
Light Red Ochre,#E97451,"(233, 116, 81)","(0, 50, 65, 9)","['Ochre is actually a pigment that consists of regular clay mixed with bits of iron. As the iron rusts, it gives ochre its orange-red tone. Light Red Ochre is slightly lighter than traditional ochre and gives off more of a red tint as opposed to the usual yellowish brown color.']"
Vivid Orange,#FF5E0E,"(255, 94, 14)","(0, 63, 95, 0)",[]
Orange-Red,#FF4500,"(255, 69, 0)","(0, 73, 100, 0)",['Orange-red is a shade of orange that incorporates a high percentage of red. This reddish orange hue is similar to the color of blood oranges.']
Metallic Orange,#E26310,"(226, 99, 16)","(0, 56, 93, 11)","['Metallic orange, as the name suggests, has metallic tones in it. Metallic orange also has a gold-like sheen to the hue.']"
Pumpkin,#F5761A,"(245, 118, 26)","(0, 52, 89, 4)",['Pumpkin refers to a shade of orange that – you guessed it – resembles the color of pumpkins. It is often used in color palettes for fall themed art.']
